recordType,unit,creationDate,startDate,endDate,value,day of week (numeric),day of week (string),month
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599097269,1599097656,154,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599098067,1599098147,25,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599098720,1599099048,393,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599099678,1599099696,20,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599100486,1599100970,54,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599102476,1599102838,10,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599103888,1599104307,36,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599104581,1599104909,42,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599105698,1599105701,6,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599107097,1599107597,139,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599113148,1599113588,83,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599114297,1599114426,62,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599116106,1599116563,400,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599118279,1599118284,9,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599120134,1599120480,40,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599121900,1599122210,42,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599145114,1599145549,79,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599146960,1599146963,11,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599149131,1599149133,4,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599149822,1599149825,2,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599155309,1599155557,22,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599156836,1599156844,13,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599160446,1599160485,27,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599161045,1599161060,22,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599161782,1599161784,10,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599165775,1599165780,12,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599166451,1599166957,237,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599167572,1599168172,32,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599168784,1599168797,28,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599169765,1599170361,106,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599170446,1599170449,4,3,Thursday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-03,1599171083,1599171439,112,3,Thursday,9
